model_name,accuracy,train_time_minutes,batch_size,learning_rate,max_length,notesbert-base-uncased,0.9338,49.0,8,2e-05,512,baseline benchmark
bert-base-uncased,0.906,12.28,8,2e-05,512,baseline benchmark
roberta-base,0.914,10.51,4,2e-05,256,baseline benchmark
distilbert-base-uncased,0.909,6.32,8,2e-05,512,baseline benchmark
